origin,destination,departure_time,data_source,source_doc,source_name
Kopargaon,Beed,12:30,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Chhatrapati Sambhaji Nagar (Aurangabad),06:45,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Chhatrapati Sambhaji Nagar (Aurangabad),08:30,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Chhatrapati Sambhaji Nagar (Aurangabad),09:30,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Dhule,06:30,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Dongarkinhi,11:30,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Hyderabad,16:30,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Mahur,06:30,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Malegaon,10:00,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Manmad,10:00,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Mumbai,07:00,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Nashik,06:30,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Nashik,07:15,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Nashik,08:00,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Nashik,09:00,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Nashik,10:00,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Nashik,11:00,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Nashik,12:00,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Nashik,13:00,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
Kopargaon,Nashik,14:00,OFFICIAL,Kopargaon-Bus-Stand-Timetable.pdf,Authenticated Kopargaon Bus Stand Timetable
